date,temperature,rainfall,humidity
1993-04-20,24.3,0.14,79.0
1993-04-21,21.67,0.81,74.1
1993-04-22,24.64,0.71,74.4
1993-04-23,24.9,0.65,73.1
1993-04-24,28.63,0.55,78.6
1993-04-25,24.77,0.35,83.8
1993-04-26,25.64,0.28,78.0
1993-04-27,25.26,1.53,67.8
1993-04-28,23.69,3.78,72.3
1993-04-29,27.28,1.07,63.7
1993-04-30,26.82,0.53,83.6
1993-05-01,27.0,0.26,75.0
1993-05-02,24.57,2.66,69.1
1993-05-03,28.15,5.34,74.3
1993-05-04,24.07,0.64,82.2
1993-05-05,27.17,0.52,68.5
1993-05-06,29.69,1.38,69.7
1993-05-07,25.03,2.24,66.5
1993-05-08,25.78,0.91,75.1
1993-05-09,26.89,1.49,71.4
1993-05-10,26.1,1.89,61.2
1993-05-11,24.63,4.85,73.5
1993-05-12,27.17,0.27,76.4
1993-05-13,25.58,8.92,68.8
1993-05-14,27.99,0.75,71.1
1993-05-15,26.0,1.93,70.1
1993-05-16,29.81,1.27,74.4
1993-05-17,26.41,1.0,62.5
1993-05-18,27.2,1.8,67.3
1993-05-19,29.0,0.76,68.9
1993-05-20,26.03,0.2,74.1
1993-05-21,28.31,1.01,70.0
1993-05-22,30.02,1.11,63.3
1993-05-23,25.73,0.34,66.8
1993-05-24,28.51,4.11,75.7
1993-05-25,28.71,0.39,62.6
1993-05-26,29.57,0.79,74.2
1993-05-27,26.63,0.25,73.5
1993-05-28,26.58,1.15,74.7
1993-05-29,29.43,0.55,73.9
1993-05-30,29.16,1.01,75.0
1993-05-31,29.17,0.38,59.0
1993-06-01,29.38,0.33,74.3
1993-06-02,27.91,9.06,70.0
1993-06-03,29.35,6.15,64.4
1993-06-04,29.51,2.5,61.2
1993-06-05,28.06,0.29,67.0
1993-06-06,31.99,12.04,78.5
1993-06-07,29.97,1.12,69.0
1993-06-08,27.53,16.02,63.7
1993-06-09,30.35,3.91,77.7
1993-06-10,27.96,2.5,68.9
1993-06-11,30.65,8.12,68.8
1993-06-12,31.26,12.57,66.6
1993-06-13,28.34,2.78,67.5
1993-06-14,31.06,3.14,52.4
1993-06-15,30.27,3.41,65.2
1993-06-16,30.93,15.33,68.2
1993-06-17,32.58,7.08,71.9
1993-06-18,29.4,1.71,75.2
1993-06-19,28.67,1.23,69.0
1993-06-20,28.5,1.57,64.3
1993-06-21,28.63,1.84,63.3
1993-06-22,29.77,1.57,59.2
1993-06-23,30.42,6.45,65.2
1993-06-24,30.34,0.74,72.1
1993-06-25,31.19,2.94,60.1
1993-06-26,29.98,5.89,62.6
1993-06-27,32.16,2.06,57.9
1993-06-28,29.59,0.41,66.4
1993-06-29,34.08,0.51,67.1
1993-06-30,30.95,0.81,57.2
1993-07-01,28.73,10.84,63.3
1993-07-02,28.41,6.44,47.0
1993-07-03,30.74,0.4,58.5
1993-07-04,29.68,2.98,66.0
1993-07-05,31.08,1.96,57.0
1993-07-06,30.71,5.18,52.6
1993-07-07,29.88,4.44,62.3
1993-07-08,28.71,3.94,58.0
1993-07-09,27.69,2.27,59.3
1993-07-10,29.28,0.89,59.8
1993-07-11,31.21,8.14,62.4
1993-07-12,30.23,12.71,63.0
1993-07-13,28.02,17.31,59.2
1993-07-14,30.12,0.36,62.9
1993-07-15,30.41,8.08,56.7
1993-07-16,28.48,7.78,58.1
1993-07-17,30.0,17.64,56.5
1993-07-18,29.82,1.75,50.2
1993-07-19,27.98,8.13,63.2
1993-07-20,30.19,0.34,55.8
1993-07-21,30.46,5.99,63.3
1993-07-22,31.19,2.59,57.4
1993-07-23,31.1,8.79,56.9
1993-07-24,27.41,11.94,59.3
1993-07-25,28.02,2.72,55.8
1993-07-26,30.14,4.47,51.0
1993-07-27,30.09,0.75,53.2
1993-07-28,30.03,3.24,59.5
1993-07-29,34.98,2.69,57.0
1993-07-30,29.99,1.21,48.9
1993-07-31,30.78,13.49,54.5
1993-08-01,30.44,0.96,47.8
1993-08-02,29.92,6.06,53.0
1993-08-03,28.4,13.25,57.4
1993-08-04,29.94,14.58,49.0
1993-08-05,27.56,9.46,51.3
1993-08-06,28.29,1.16,46.9
1993-08-07,27.84,10.2,54.4
1993-08-08,28.61,1.94,51.9
1993-08-09,31.88,15.34,47.8
1993-08-10,25.52,7.41,52.9
1993-08-11,29.27,9.23,50.5
1993-08-12,25.73,0.53,52.9
1993-08-13,27.35,5.24,45.6
1993-08-14,29.6,10.33,48.4
1993-08-15,27.97,11.87,50.5
1993-08-16,26.17,0.17,53.0
1993-08-17,26.61,16.8,44.5
1993-08-18,28.61,0.27,49.8
1993-08-19,26.39,5.72,54.0
1993-08-20,27.71,7.09,49.2
1993-08-21,27.35,0.68,47.1
1993-08-22,26.2,0.3,45.9
1993-08-23,30.29,9.22,45.8
1993-08-24,27.92,2.91,49.3
1993-08-25,23.82,0.68,38.1
1993-08-26,27.03,8.63,45.2
1993-08-27,25.65,11.35,49.8
1993-08-28,27.8,5.31,51.3
1993-08-29,25.22,1.05,42.8
1993-08-30,26.12,0.09,44.2
1993-08-31,26.94,7.24,47.6
1993-09-01,27.36,4.79,50.2
1993-09-02,24.14,6.31,45.1
1993-09-03,25.32,10.07,46.2
1993-09-04,24.99,3.42,48.4
1993-09-05,24.6,0.8,40.8
1993-09-06,28.1,16.88,54.6
1993-09-07,25.93,4.73,46.8
1993-09-08,23.31,5.73,44.5
1993-09-09,26.45,16.26,51.8
1993-09-10,28.13,16.09,46.7
1993-09-11,26.37,5.09,45.1
1993-09-12,22.41,2.12,47.7
1993-09-13,23.83,35.09,46.0
1993-09-14,26.33,6.85,42.6
1993-09-15,23.23,3.15,51.0
1993-09-16,24.83,4.92,38.1
1993-09-17,25.19,3.23,43.5
1993-09-18,22.51,13.15,54.7
1993-09-19,23.67,3.95,45.9
1993-09-20,18.77,10.41,37.4
1993-09-21,21.96,11.0,50.9
1993-09-22,22.98,10.43,43.8
1993-09-23,21.35,7.68,39.9
1993-09-24,25.53,11.58,50.4
1993-09-25,20.8,2.94,50.6
1993-09-26,22.15,0.73,52.2
1993-09-27,22.87,11.09,40.2
1993-09-28,24.7,4.14,44.3
1993-09-29,20.25,0.82,43.6
1993-09-30,24.01,0.74,40.3
1993-10-01,22.14,0.26,47.9
1993-10-02,20.52,2.09,50.5
1993-10-03,22.54,1.86,42.7
1993-10-04,22.01,0.34,45.8
1993-10-05,20.68,2.82,45.7
1993-10-06,21.54,0.5,50.5
1993-10-07,20.72,2.36,45.1
1993-10-08,21.33,1.01,45.3
1993-10-09,22.02,1.97,49.7
1993-10-10,23.27,0.72,45.8
1993-10-11,18.9,0.64,42.3
1993-10-12,23.82,2.76,39.8
1993-10-13,17.56,0.05,42.2
1993-10-14,20.12,5.52,46.5
1993-10-15,21.1,1.57,38.9
1993-10-16,20.5,0.85,46.8
1993-10-17,19.01,1.48,38.0
1993-10-18,19.5,0.2,40.6
1993-10-19,18.94,1.08,48.9
1993-10-20,18.67,6.31,43.5
1993-10-21,20.7,0.4,47.0
1993-10-22,19.83,1.92,45.6
1993-10-23,18.12,0.86,53.8
1993-10-24,20.38,1.59,46.8
1993-10-25,19.37,0.34,41.1
1993-10-26,20.0,0.95,49.3
1993-10-27,19.6,5.88,41.1
1993-10-28,17.29,0.33,51.5
1993-10-29,17.57,1.52,50.6
1993-10-30,19.41,1.29,48.2
1993-10-31,19.08,1.25,50.6
1993-11-01,18.01,1.43,52.9
1993-11-02,18.1,1.05,47.0
1993-11-03,19.73,0.03,48.1
1993-11-04,16.8,3.46,48.6
1993-11-05,18.4,2.63,43.9
1993-11-06,17.16,0.29,44.8
1993-11-07,17.02,0.8,48.1
1993-11-08,18.89,2.21,47.9
1993-11-09,18.37,5.87,49.4
1993-11-10,18.24,4.53,45.8
1993-11-11,18.87,3.44,41.1
1993-11-12,16.84,0.26,56.0
1993-11-13,17.73,3.69,41.8
1993-11-14,16.14,3.16,53.0
1993-11-15,16.99,0.71,47.6
1993-11-16,16.21,0.75,50.3
1993-11-17,16.45,0.92,52.8
1993-11-18,17.11,1.6,47.4
1993-11-19,14.89,0.45,43.0
1993-11-20,19.17,0.03,55.1
1993-11-21,14.43,0.23,53.6
1993-11-22,14.03,0.87,50.8
1993-11-23,17.5,0.5,54.8
1993-11-24,16.87,2.17,52.5
1993-11-25,16.53,0.17,50.8
1993-11-26,16.46,3.74,50.3
1993-11-27,15.42,3.39,40.7
1993-11-28,14.01,3.59,53.1
1993-11-29,15.4,2.02,46.9
1993-11-30,14.2,0.17,54.3
1993-12-01,16.6,0.86,50.9
1993-12-02,14.85,0.21,44.0
1993-12-03,13.77,6.6,52.5
1993-12-04,14.46,0.61,50.8
1993-12-05,15.5,1.32,60.2
1993-12-06,13.97,2.27,43.5
1993-12-07,13.52,3.8,49.6
1993-12-08,15.07,2.11,48.1
1993-12-09,15.01,1.68,58.2
1993-12-10,13.83,0.94,55.5
1993-12-11,13.84,1.39,58.4
1993-12-12,14.85,0.15,49.4
1993-12-13,12.28,3.23,50.4
1993-12-14,12.3,1.18,55.7
1993-12-15,13.29,0.06,64.3
1993-12-16,14.01,3.79,58.6
1993-12-17,14.76,1.01,51.8
1993-12-18,16.47,3.04,57.5
1993-12-19,15.51,2.92,59.7
1993-12-20,13.96,2.54,50.1
1993-12-21,14.14,0.1,55.9
1993-12-22,12.64,0.43,56.5
1993-12-23,14.1,3.13,66.7
1993-12-24,13.67,3.44,58.4
1993-12-25,14.57,0.92,66.5
1993-12-26,12.83,0.87,54.7
1993-12-27,14.84,0.29,61.4
1993-12-28,16.35,5.18,52.0
1993-12-29,13.88,0.36,62.3
1993-12-30,14.64,0.32,57.5
1993-12-31,15.07,1.62,58.1
1994-01-01,13.43,0.42,63.6
1994-01-02,14.37,4.19,64.3
1994-01-03,14.05,0.02,62.0
1994-01-04,14.19,0.01,69.8
1994-01-05,12.89,1.05,61.4
1994-01-06,14.1,1.0,62.9
1994-01-07,14.82,0.27,62.9
1994-01-08,16.27,1.02,65.3
1994-01-09,15.55,0.8,62.2
1994-01-10,17.36,3.32,57.2
1994-01-11,13.0,0.01,64.5
1994-01-12,15.48,5.61,55.1
1994-01-13,14.48,1.47,67.4
1994-01-14,17.52,0.25,69.2
1994-01-15,13.05,0.07,61.2
1994-01-16,13.04,1.16,61.2
1994-01-17,13.43,0.4,54.3
1994-01-18,11.19,0.54,64.1
1994-01-19,13.62,0.42,66.5
1994-01-20,13.32,1.58,66.5
1994-01-21,14.73,1.21,66.4
1994-01-22,15.06,0.12,64.0
1994-01-23,17.41,1.12,70.1
1994-01-24,16.08,2.35,61.0
1994-01-25,13.84,0.13,61.3
1994-01-26,13.41,3.31,59.5
1994-01-27,15.56,1.3,63.2
1994-01-28,12.9,4.51,61.0
1994-01-29,17.69,0.24,55.5
1994-01-30,16.78,7.57,63.6
1994-01-31,14.37,1.55,71.5
1994-02-01,12.58,1.26,69.1
1994-02-02,17.25,1.09,71.0
1994-02-03,15.12,0.04,70.7
1994-02-04,17.22,4.21,66.7
1994-02-05,13.05,1.55,67.4
1994-02-06,14.62,0.14,65.1
1994-02-07,15.61,0.03,70.2
1994-02-08,15.76,0.08,83.4
1994-02-09,15.09,1.41,62.8
1994-02-10,16.79,1.43,74.5
1994-02-11,14.34,1.04,67.1
1994-02-12,15.82,0.55,77.2
1994-02-13,16.31,1.14,72.0
1994-02-14,16.99,1.09,67.4
1994-02-15,17.38,0.03,69.3
1994-02-16,14.73,0.5,74.3
1994-02-17,14.21,0.08,79.3
1994-02-18,18.53,3.46,75.1
1994-02-19,17.21,1.94,69.0
1994-02-20,15.7,8.33,73.8
1994-02-21,19.25,0.54,79.5
1994-02-22,17.2,3.16,74.0
1994-02-23,18.91,1.39,71.2
1994-02-24,17.35,0.91,65.0
1994-02-25,20.45,0.38,78.3
1994-02-26,20.11,2.01,71.7
1994-02-27,17.21,3.52,68.9
1994-02-28,19.16,0.4,76.3
1994-03-01,18.79,0.29,76.6
1994-03-02,19.99,1.79,68.3
1994-03-03,16.61,5.66,69.2
1994-03-04,19.2,2.08,76.0
1994-03-05,19.88,0.5,79.3
1994-03-06,15.78,0.82,71.7
1994-03-07,16.77,0.73,72.5
1994-03-08,15.61,2.87,70.2
1994-03-09,18.39,2.21,79.9
1994-03-10,19.99,1.33,77.1
1994-03-11,21.3,0.48,68.3
1994-03-12,19.29,4.17,82.3
1994-03-13,21.75,1.59,91.4
1994-03-14,17.36,5.28,65.2
1994-03-15,17.01,1.3,76.0
1994-03-16,19.61,2.58,66.6
1994-03-17,20.4,2.52,72.9
1994-03-18,19.91,0.62,67.2
1994-03-19,16.99,4.99,81.9
1994-03-20,20.09,0.03,72.8
1994-03-21,18.41,2.2,79.7
1994-03-22,21.5,5.05,75.6
1994-03-23,21.18,0.62,83.3
1994-03-24,19.36,1.57,68.8
1994-03-25,20.13,1.24,63.9
1994-03-26,19.45,2.15,72.0
1994-03-27,21.08,3.02,73.0
1994-03-28,22.75,1.39,67.0
1994-03-29,19.97,2.54,77.1
1994-03-30,22.35,0.56,76.9
1994-03-31,20.93,0.39,81.7
1994-04-01,20.68,0.84,80.2
1994-04-02,21.84,1.7,72.5
1994-04-03,20.59,0.31,69.2
1994-04-04,21.45,1.71,66.4
1994-04-05,20.62,0.75,74.0
1994-04-06,25.5,2.38,73.9
1994-04-07,22.74,0.06,76.9
1994-04-08,21.78,1.65,66.8
1994-04-09,23.29,1.57,75.6
1994-04-10,22.93,4.24,77.5
1994-04-11,22.91,1.87,71.6
1994-04-12,24.3,2.39,77.6
1994-04-13,24.65,3.52,73.5
1994-04-14,22.85,1.69,80.6
1994-04-15,22.92,0.51,81.8
1994-04-16,23.5,3.06,74.7
1994-04-17,20.6,2.06,78.8
1994-04-18,21.91,0.83,67.7
1994-04-19,26.36,1.86,72.0
1994-04-20,26.91,3.03,76.1
1994-04-21,24.2,5.57,72.0
1994-04-22,25.57,4.57,72.8
1994-04-23,25.3,0.59,69.2
1994-04-24,29.58,0.82,82.6
1994-04-25,26.77,0.17,69.1
1994-04-26,25.03,0.43,77.6
1994-04-27,23.91,3.21,71.1
1994-04-28,23.06,0.67,76.7
1994-04-29,25.9,1.45,70.3
1994-04-30,24.58,1.64,71.6
1994-05-01,23.71,2.28,75.2
1994-05-02,24.99,0.3,76.1
1994-05-03,24.46,0.55,77.3
1994-05-04,28.73,0.89,73.0
1994-05-05,27.64,0.68,78.1
1994-05-06,26.42,6.1,73.7
1994-05-07,40.21,2.7,71.6
1994-05-08,26.77,0.98,76.5
1994-05-09,25.48,3.17,72.6
1994-05-10,29.17,0.64,73.1
1994-05-11,27.8,2.31,66.8
1994-05-12,25.54,0.38,68.4
1994-05-13,26.92,2.22,73.5
1994-05-14,25.99,0.91,66.9
1994-05-15,25.34,0.17,71.3
1994-05-16,28.9,0.48,61.5
1994-05-17,30.48,0.77,80.3
1994-05-18,25.61,2.08,74.0
1994-05-19,28.65,0.11,68.2
1994-05-20,26.93,1.62,77.7
1994-05-21,27.26,1.89,65.6
1994-05-22,27.2,1.59,67.0
1994-05-23,26.88,2.14,72.2
1994-05-24,28.34,0.29,74.1
1994-05-25,27.1,1.33,66.4
1994-05-26,28.84,4.25,71.3
1994-05-27,28.44,1.42,70.5
1994-05-28,28.24,1.42,68.5
1994-05-29,27.31,2.0,65.7
1994-05-30,27.88,0.61,72.4
1994-05-31,29.96,1.81,57.9
1994-06-01,29.65,14.88,68.4
1994-06-02,27.5,0.07,64.1
1994-06-03,29.18,12.25,66.7
1994-06-04,30.23,1.48,63.6
1994-06-05,26.66,3.65,60.8
1994-06-06,30.04,11.48,63.4
1994-06-07,28.29,10.42,63.6
1994-06-08,30.2,13.35,65.0
1994-06-09,28.25,16.92,65.8
1994-06-10,26.74,3.56,68.8
1994-06-11,27.06,6.41,72.8
1994-06-12,29.62,2.97,65.5
1994-06-13,29.99,2.59,59.7
1994-06-14,28.28,3.39,68.6
1994-06-15,30.64,8.15,65.8
1994-06-16,27.23,4.18,59.2
1994-06-17,29.66,10.09,64.3
1994-06-18,27.98,8.2,67.1
1994-06-19,28.85,0.12,59.2
1994-06-20,29.93,5.97,60.4
1994-06-21,28.6,3.44,63.3
1994-06-22,29.34,3.66,61.2
1994-06-23,31.45,10.23,54.7
1994-06-24,29.09,4.76,73.9
1994-06-25,31.23,13.01,58.9
1994-06-26,28.3,7.49,58.2
1994-06-27,30.8,4.83,59.5
1994-06-28,32.18,8.43,60.6
1994-06-29,26.32,0.23,62.5
1994-06-30,28.84,0.16,55.2
1994-07-01,30.91,0.52,66.6
1994-07-02,29.74,3.45,53.0
1994-07-03,30.6,1.61,57.6
1994-07-04,29.14,24.91,63.4
1994-07-05,30.17,4.69,62.8
1994-07-06,29.8,6.52,45.1
1994-07-07,31.77,1.96,58.5
1994-07-08,30.39,2.33,58.8
1994-07-09,30.5,2.45,59.4
1994-07-10,29.36,7.2,55.0
1994-07-11,29.23,3.85,56.5
1994-07-12,29.29,4.37,60.1
1994-07-13,30.51,5.38,61.0
1994-07-14,29.26,8.79,49.8
1994-07-15,30.3,0.57,59.1
1994-07-16,32.94,9.0,58.3
1994-07-17,39.62,4.97,60.5
1994-07-18,29.27,6.64,51.7
1994-07-19,31.53,2.38,58.0
1994-07-20,29.07,3.16,46.2
1994-07-21,26.59,1.58,53.4
1994-07-22,28.09,23.27,53.4
1994-07-23,26.75,4.12,55.2
1994-07-24,28.98,33.25,58.2
1994-07-25,29.48,4.04,48.9
1994-07-26,31.92,1.49,60.1
1994-07-27,29.84,4.25,42.1
1994-07-28,28.96,0.24,45.2
1994-07-29,30.47,14.11,58.1
1994-07-30,25.85,10.24,53.7
1994-07-31,29.46,7.76,61.5
1994-08-01,30.19,5.65,56.5
1994-08-02,26.75,5.2,52.5
1994-08-03,30.62,34.33,49.8
1994-08-04,29.34,1.95,48.9
1994-08-05,28.13,9.08,53.7
1994-08-06,29.63,5.23,48.7
1994-08-07,32.01,22.35,52.6
1994-08-08,28.79,10.55,47.8
1994-08-09,28.81,39.12,52.0
1994-08-10,27.67,5.33,58.5
1994-08-11,26.99,1.37,53.3
1994-08-12,29.43,4.2,48.0
1994-08-13,26.81,7.45,51.9
1994-08-14,28.11,8.93,51.4
1994-08-15,27.19,0.0,50.8
1994-08-16,28.53,4.22,51.5
1994-08-17,28.22,1.61,54.0
1994-08-18,29.18,12.47,54.6
1994-08-19,26.76,1.0,49.1
1994-08-20,27.01,6.59,42.0
1994-08-21,25.85,1.86,49.1
1994-08-22,26.55,2.65,47.8
1994-08-23,27.67,16.94,51.1
1994-08-24,28.13,1.65,42.2
1994-08-25,25.51,0.6,50.6
1994-08-26,28.08,0.43,48.5
1994-08-27,28.7,4.21,42.9
1994-08-28,27.18,6.16,37.2
1994-08-29,29.26,2.38,51.8
1994-08-30,25.16,7.03,42.4
1994-08-31,24.34,0.38,39.8
1994-09-01,23.42,11.68,44.2
1994-09-02,28.21,10.18,52.8
1994-09-03,26.83,25.4,47.8
1994-09-04,25.64,16.54,48.9
1994-09-05,26.03,2.64,46.3
1994-09-06,23.79,3.06,48.0
1994-09-07,29.03,8.22,45.3
1994-09-08,25.42,0.86,43.9
1994-09-09,25.27,2.26,42.9
1994-09-10,26.07,0.76,44.5
1994-09-11,25.57,3.64,58.0
1994-09-12,25.05,4.82,48.7
1994-09-13,23.4,1.42,41.5
1994-09-14,25.16,0.16,39.0
1994-09-15,27.15,7.62,45.2
1994-09-16,26.21,0.12,37.0
1994-09-17,26.45,21.76,50.0
1994-09-18,23.16,1.5,32.7
1994-09-19,22.31,6.54,43.8
1994-09-20,23.47,3.42,36.3
1994-09-21,23.61,0.37,47.5
1994-09-22,25.03,3.83,41.4
1994-09-23,20.71,4.36,48.7
1994-09-24,25.41,11.57,34.3
1994-09-25,22.74,7.91,50.7
1994-09-26,22.2,0.5,46.8
1994-09-27,21.19,1.41,44.9
1994-09-28,20.09,2.24,40.8
1994-09-29,23.67,0.74,43.5
1994-09-30,22.4,3.66,48.6
1994-10-01,20.22,6.23,40.8
1994-10-02,20.08,1.08,44.4
1994-10-03,21.38,2.03,43.5
1994-10-04,24.25,1.72,45.9
1994-10-05,21.22,2.84,38.1
1994-10-06,19.21,0.36,52.3
1994-10-07,20.96,2.1,49.7
1994-10-08,20.78,3.2,36.2
1994-10-09,17.01,0.28,35.3
1994-10-10,20.84,0.64,52.2
1994-10-11,20.44,5.26,45.5
1994-10-12,21.69,2.28,36.2
1994-10-13,23.29,0.5,42.8
1994-10-14,22.07,1.24,43.9
1994-10-15,19.84,0.78,48.6
1994-10-16,18.45,1.01,50.2
1994-10-17,23.84,0.66,46.1
1994-10-18,19.93,0.49,44.7
1994-10-19,19.73,1.68,43.3
1994-10-20,19.55,2.26,52.8
1994-10-21,19.75,3.11,43.7
1994-10-22,19.11,0.25,48.5
1994-10-23,18.33,2.6,40.6
1994-10-24,18.24,0.44,39.8
1994-10-25,18.89,0.84,47.1
1994-10-26,18.0,3.48,44.4
1994-10-27,17.62,0.91,39.5
1994-10-28,18.72,0.33,44.9
1994-10-29,18.06,0.26,59.1
1994-10-30,20.57,147.12,46.6
1994-10-31,14.22,2.16,45.4
1994-11-01,19.71,8.82,45.5
1994-11-02,19.83,2.32,53.1
1994-11-03,14.73,3.14,46.5
1994-11-04,17.21,2.07,48.6
1994-11-05,17.05,3.39,51.1
1994-11-06,15.38,0.12,54.2
1994-11-07,16.21,3.99,44.2
1994-11-08,15.6,0.76,43.2
1994-11-09,19.79,3.82,44.6
1994-11-10,18.46,0.12,51.6
1994-11-11,18.85,1.88,52.3
1994-11-12,17.92,2.0,49.6
1994-11-13,15.04,8.67,53.7
1994-11-14,15.85,2.2,52.8
1994-11-15,17.27,0.72,46.0
1994-11-16,14.6,1.22,41.8
1994-11-17,17.41,0.68,47.3
1994-11-18,15.88,0.33,52.4
1994-11-19,15.59,0.43,52.4
1994-11-20,17.12,0.38,41.1
1994-11-21,16.63,1.19,38.5
1994-11-22,15.34,3.55,53.9
1994-11-23,17.53,3.66,54.2
1994-11-24,14.09,0.08,52.7
1994-11-25,16.55,0.12,55.6
1994-11-26,16.43,0.42,52.3
1994-11-27,15.0,0.44,44.9
1994-11-28,15.88,0.15,50.2
1994-11-29,13.44,0.74,51.5
1994-11-30,16.63,1.33,49.3
1994-12-01,14.89,1.29,49.4
1994-12-02,14.32,1.18,52.1
1994-12-03,16.61,0.62,48.7
1994-12-04,13.91,1.84,42.4
1994-12-05,12.79,2.63,53.8
1994-12-06,12.51,0.64,59.7
1994-12-07,15.7,0.13,42.7
1994-12-08,12.81,0.53,54.8
1994-12-09,17.31,0.22,49.2
1994-12-10,11.5,0.94,57.9
1994-12-11,17.12,0.25,56.6
1994-12-12,14.84,0.93,60.2
1994-12-13,14.34,0.37,51.0
1994-12-14,13.62,2.01,55.8
1994-12-15,15.0,0.04,68.1
1994-12-16,14.3,1.21,56.9
1994-12-17,15.98,0.28,59.7
1994-12-18,14.46,0.0,63.4
1994-12-19,14.48,3.05,52.3
1994-12-20,13.68,1.67,46.8
1994-12-21,14.12,0.16,48.7
1994-12-22,14.64,1.64,51.6
1994-12-23,11.59,1.42,55.6
1994-12-24,12.11,0.96,60.4
1994-12-25,15.23,0.82,63.0
1994-12-26,14.36,3.27,53.1
1994-12-27,13.81,0.42,69.4
1994-12-28,14.11,0.76,65.5
1994-12-29,14.59,0.6,56.7
1994-12-30,13.25,2.21,71.4
1994-12-31,12.89,3.72,62.7
1995-01-01,14.35,2.84,59.7
1995-01-02,12.59,2.4,55.6
1995-01-03,14.68,6.49,54.9
1995-01-04,11.52,1.79,65.5
1995-01-05,15.62,2.09,61.5
